timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
429717324,22.590903345213317,113.9750156568174,26.869509,-0.0,-0.13620868,-0.117594354,0.1673311,2.2374492,3.1109095,6.388029,0.0,2,0,0,0
429922124,22.59090313002857,113.97501553463451,26.862873,-0.0,-0.13156761,-0.1023652,0.17078884,2.2383568,3.1102798,6.388043,0.0,2,0,0,0
430122943,22.59090285727124,113.97501535878001,26.857439,-0.0,-0.13128,-0.09213613,0.17341772,2.2387676,3.110624,6.388001,0.0,2,0,0,0
430327740,22.59090256081463,113.97501522928407,26.857834,-0.0,-0.13018528,-0.07986686,0.17419551,2.2385564,3.1108165,6.388062,0.0,2,0,0,0
430528543,22.590902320987176,113.97501518243324,26.86237,-0.0,-0.12692744,-0.065193295,0.17427574,2.2392502,3.1103692,6.388114,0.0,2,0,0,0
430729323,22.59090206285082,113.97501510401716,26.853977,-0.0,-0.12531148,-0.05232728,0.17745993,2.2395542,3.110131,6.388075,0.0,2,0,0,0
430930959,22.59090178702201,113.9750149952783,26.843472,-0.0,-0.12518018,-0.04137909,0.18101245,2.2393115,3.1102586,6.3880677,0.0,2,0,0,0
431131748,22.59090151485864,113.97501496849247,26.837942,-0.0,-0.12448583,-0.027593259,0.18309858,2.2403445,3.1105695,6.388069,0.0,2,0,0,0
431336560,22.59090127456699,113.97501498099834,26.83524,-0.0,-0.121180184,-0.014184082,0.18430479,2.240246,3.1103108,6.388069,0.0,2,0,0,0
431537315,22.590901089130192,113.97501495086834,26.8368,-0.0,-0.11580867,-0.003905313,0.18443926,2.2401679,3.1107602,6.388091,0.0,2,0,0,0
431742158,22.590900890324615,113.97501493545734,26.837639,-0.0,-0.11269179,0.006679585,0.1843987,2.2401016,3.1097164,6.3880796,0.0,2,0,0,0
431942915,22.590900654551724,113.9750147296075,26.840387,-0.0,-0.110408485,0.007957101,0.18428312,2.239377,3.108857,6.388026,0.0,2,0,0,0
432147714,22.590900422441006,113.97501439770798,26.838524,-0.0,-0.10869675,0.0041129463,0.18551522,2.2385151,3.1081796,6.388037,0.0,2,0,0,0
