timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
50654439,0.15537989,0.13940631,-0.30772045
50676439,0.15961002,0.13940631,-0.3054182
50698454,0.15819998,0.13837488,-0.2996625
50720450,0.16243011,0.13940631,-0.31002274
50743139,0.1525598,0.13837488,-0.2939068
50763479,0.15961002,0.14043774,-0.3031159
50786460,0.16102007,0.1425006,-0.31232503
50808448,0.17935067,0.13734345,-0.3111739
50830448,0.16666025,0.14146917,-0.30196476
50852472,0.16384016,0.1425006,-0.3031159
50873451,0.16807029,0.14146917,-0.30196476
50895922,0.1708904,0.13940631,-0.30772045
50917451,0.16666025,0.1425006,-0.30081365
50939444,0.1708904,0.14043774,-0.2939068
50961451,0.16807029,0.14146917,-0.31347618
50983451,0.16807029,0.14146917,-0.2962091
51005455,0.1708904,0.14146917,-0.31002274
51027451,0.16384016,0.1425006,-0.3088716
51049479,0.16666025,0.1425006,-0.3065693
51072697,0.18781096,0.14146917,-0.3065693
51094451,0.1708904,0.14559487,-0.30772045
51116856,0.16948035,0.1466263,-0.30426705
51139439,0.1737105,0.14559487,-0.28469774
51161510,0.17230044,0.14559487,-0.30081365
51183450,0.17512053,0.1466263,-0.29505795
51204823,0.16948035,0.14765772,-0.30196476
51226444,0.17230044,0.14456344,-0.30772045
51248451,0.17935067,0.14456344,-0.31002274
51272468,0.16807029,0.14353201,-0.29851136
51294497,0.16384016,0.14456344,-0.30196476
51316468,0.16666025,0.14146917,-0.3054182
51338693,0.16102007,0.14043774,-0.28815114
51360468,0.1652502,0.13837488,-0.31232503
51382473,0.16807029,0.13528061,-0.2996625
51404473,0.15678993,0.13837488,-0.30196476
51426674,0.15819998,0.13734345,-0.2939068
51448468,0.1525598,0.13424917,-0.3054182
51469483,0.15678993,0.13424917,-0.31002274
51491468,0.15396984,0.13528061,-0.31002274
51513477,0.15819998,0.13321774,-0.30426705
51535479,0.15537989,0.13631202,-0.2927557
51557473,0.16243011,0.12909204,-0.31347618
51579507,0.1525598,0.13837488,-0.3111739
51601477,0.1497397,0.13631202,-0.31692958
51623468,0.1525598,0.13424917,-0.3031159
51645503,0.15819998,0.13734345,-0.30772045
51667472,0.15396984,0.13424917,-0.30772045
51689478,0.15961002,0.13321774,-0.3146273
51711477,0.1525598,0.13734345,-0.3088716
51733473,0.15537989,0.13734345,-0.2996625
51755468,0.15114975,0.13424917,-0.3031159
51778439,0.1525598,0.13734345,-0.29736024
51800853,0.15114975,0.13631202,-0.30426705
51823439,0.15396984,0.13631202,-0.2939068
51845439,0.15961002,0.13734345,-0.30081365
51867439,0.1525598,0.13528061,-0.3031159
51889608,0.15114975,0.13321774,-0.30426705
51911467,0.15678993,0.13218631,-0.3065693
51934438,0.16807029,0.13115488,-0.287
51956439,0.1525598,0.13528061,-0.30772045
51979451,0.15114975,0.13321774,-0.30426705
52001678,0.16384016,0.13218631,-0.30772045
52024445,0.14691961,0.13321774,-0.29736024
52046633,0.14550956,0.13115488,-0.2927557
52068439,0.14832965,0.13115488,-0.2996625
52090485,0.1497397,0.12909204,-0.30426705
52112439,0.14409952,0.13321774,-0.30426705
52134640,0.15537989,0.12806061,-0.28815114
52156439,0.15114975,0.13424917,-0.2996625
52177448,0.14550956,0.12806061,-0.29851136
52198439,0.1497397,0.13012345,-0.29736024
52220473,0.14550956,0.13218631,-0.3054182
52242449,0.15114975,0.13012345,-0.29851136
52264439,0.15961002,0.13218631,-0.30196476
52286438,0.15114975,0.13012345,-0.3031159
52308438,0.14832965,0.13528061,-0.29505795
52330439,0.14409952,0.13528061,-0.30081365
52352678,0.15114975,0.13218631,-0.29736024
52374442,0.15114975,0.13115488,-0.3065693
52396821,0.1525598,0.13115488,-0.30426705
52418439,0.15114975,0.13424917,-0.29851136
52439451,0.16102007,0.12909204,-0.31232503
52462473,0.15114975,0.13321774,-0.2962091
52484844,0.15678993,0.12702918,-0.3054182
52506513,0.15114975,0.12909204,-0.30196476
52527510,0.14127943,0.12806061,-0.2927557
52550438,0.14550956,0.12909204,-0.29505795
52572439,0.15678993,0.12909204,-0.29736024
52594438,0.15819998,0.13115488,-0.30081365
52616439,0.13986938,0.13424917,-0.30196476
52639439,0.14832965,0.13115488,-0.30081365
52662450,0.1497397,0.13218631,-0.29736024
52683439,0.1525598,0.13218631,-0.2962091
52707088,0.1497397,0.13012345,-0.2939068
52731089,0.14832965,0.13012345,-0.28815114
52752445,0.14691961,0.13115488,-0.29160455
52773493,0.15396984,0.13115488,-0.29736024
52795469,0.14832965,0.13424917,-0.30081365
52817450,0.15537989,0.13012345,-0.29505795
52839455,0.14832965,0.13115488,-0.29851136
52861461,0.15114975,0.12909204,-0.3065693
52883857,0.16102007,0.12909204,-0.31002274
52905450,0.15114975,0.13115488,-0.30196476
52927446,0.14691961,0.13012345,-0.29160455
52949439,0.15114975,0.13012345,-0.28815114
52972475,0.15396984,0.13218631,-0.3065693
52994439,0.14409952,0.13115488,-0.3065693
53016439,0.14691961,0.12909204,-0.3088716
53038450,0.15537989,0.13012345,-0.31002274
53060506,0.14832965,0.13012345,-0.30772045
53082438,0.14409952,0.13012345,-0.29736024
53104829,0.14550956,0.13012345,-0.30426705
53125481,0.14691961,0.12496632,-0.31923184
53147439,0.14409952,0.12496632,-0.2927557
53169450,0.14127943,0.12806061,-0.30196476
53191439,0.13986938,0.12909204,-0.3031159
53214307,0.13986938,0.12599775,-0.30081365
53235451,0.14127943,0.12702918,-0.3054182
53257657,0.13845934,0.12806061,-0.29851136
53279439,0.14832965,0.12599775,-0.3088716
53302439,0.13563924,0.12599775,-0.3054182
53324439,0.13845934,0.121872045,-0.30196476
53346479,0.13704927,0.12496632,-0.2939068
53368451,0.13563924,0.121872045,-0.3088716
53390634,0.12576891,0.121872045,-0.31002274
53412439,0.1314091,0.11980918,-0.3088716
53434446,0.14691961,0.1167149,-0.32498753
53456439,0.12999906,0.1239349,-0.32268524
53479513,0.13281915,0.12806061,-0.3307432
53501442,0.14409952,0.13115488,-0.33880118
53523439,0.14268947,0.13424917,-0.3272898
53545450,0.13986938,0.13734345,-0.33304548
53568449,0.16948035,0.103306346,-0.3549171
53591484,0.14550956,0.13940631,-0.34685913
53613443,0.13986938,0.13940631,-0.3422546
53635438,0.14550956,0.14353201,-0.34455687
53657439,0.3682969,0.13940631,-0.40556714
53680503,0.34855622,0.113620624,-0.34801027
53702452,0.36970693,0.112589195,-0.34916142
53724451,0.1497397,0.14868915,-0.33880118
53745505,0.16243011,0.13837488,-0.3272898
53767442,0.16807029,0.15487772,-0.40902054
53788864,0.17512053,0.157972,-0.32613868
53809553,0.42046857,0.16312914,-0.31347618
53831439,0.18781096,0.13012345,-0.32613868
53852830,0.19063105,0.15075201,-0.3146273
53874465,0.19345114,0.16725485,-0.31923184
53896451,0.2075516,0.16622342,-0.31347618
53920501,0.2019114,0.17241198,-0.3146273
53944450,0.20896165,0.16828628,-0.3054182
53966442,0.2019114,0.17034912,-0.31808072
53988439,0.2047315,0.17034912,-0.3111739
54010661,0.20614156,0.17138055,-0.32613868
54033444,0.2047315,0.17034912,-0.3065693
54055452,0.20896165,0.17241198,-0.30772045
54078439,0.21601187,0.1734434,-0.3111739
54099451,0.21178174,0.17241198,-0.3146273
54122640,0.22447217,0.1734434,-0.32153413
54144439,0.21883196,0.17860055,-0.3031159
54166471,0.21742192,0.1734434,-0.31577843
54187490,0.23857261,0.17447484,-0.3111739
54210438,0.21883196,0.17860055,-0.3088716
54231450,0.21601187,0.17756912,-0.2996625
54254438,0.21178174,0.1734434,-0.30426705
54276472,0.21742192,0.17138055,-0.3088716
54297451,0.2075516,0.17138055,-0.2962091
54319451,0.21883196,0.16003485,-0.30772045
54341444,0.2019114,0.1620977,-0.2893023
54364473,0.19063105,0.1620977,-0.29505795
54385455,0.1920411,0.16003485,-0.30196476
54407439,0.18922101,0.16003485,-0.2996625
54429441,0.42187864,0.1620977,-0.2996625
