timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
123865314,0.43418267,-0.2684072,-0.0062158033,-0.98272747,0.059890978,-0.15356933,0.08412077,0.28009585,-0.7013075,-0.27926207,0.5930657,2
123893332,-0.3757756,-2.49981,-0.106259935,-0.9862122,0.0662003,-0.12548105,0.08519186,0.28009585,-0.7013075,-0.27926207,0.5930657,2
123925340,0.37430346,-0.66803735,0.10706735,-0.98894644,0.067031905,-0.102534585,0.08353703,0.28009585,-0.7013075,-0.27926207,0.5930657,2
123958147,0.47335094,-0.96186537,0.012964882,-0.9905677,0.061830662,-0.092209384,0.080312565,0.28009585,-0.7013075,-0.27926207,0.5930657,2
123990182,-0.43341637,-0.9468183,-0.07277826,-0.9920479,0.06588851,-0.07257635,0.07894517,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124022121,0.15528592,0.6966671,-0.2141055,-0.99204135,0.061034087,-0.074627236,0.08099156,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124054122,1.7833499,0.93339163,0.11063868,-0.99161315,0.046178434,-0.08535321,0.08535735,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124082939,0.8021203,3.268565,0.50419617,-0.9896702,0.01735227,-0.11599939,0.082437284,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124114914,-0.35711232,1.569657,0.12002504,-0.9848589,0.024230558,-0.1532416,0.07735056,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124146960,0.14133798,0.035176024,0.15871373,-0.9818235,0.02748899,-0.17244367,0.0743659,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124179021,-0.2123276,-1.7858511,0.091414236,-0.9856746,0.03648009,-0.14775181,0.072692566,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124210936,0.7272926,-0.27912825,0.32017,-0.9881105,0.03334648,-0.13385628,0.067883156,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124239714,0.33801916,-0.61434585,0.3055159,-0.9891232,0.031806577,-0.1292903,0.06251023,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124271714,-0.5320519,-0.37503874,0.25427693,-0.99063224,0.038065128,-0.11800107,0.057225905,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124303756,0.56262016,0.87604755,0.097580105,-0.9900196,0.031930104,-0.12549129,0.055619657,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124335718,2.2281651,1.3308212,0.385767,-0.98850733,0.0070627546,-0.13973454,0.057250705,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124368541,0.20435107,3.3664238,0.7965247,-0.9815925,-0.024180742,-0.18320996,0.048225697,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124400563,-0.6662839,1.8987678,0.4962804,-0.97503424,-0.015638664,-0.21829975,0.037536483,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124432551,-0.349448,-0.5102169,0.14991441,-0.9715323,-0.016220773,-0.23432262,0.030903,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124460543,-0.16007578,-1.3395199,0.23072901,-0.97626215,-0.010789852,-0.21447027,0.028255077,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124492522,0.47045562,-0.026601711,0.4388131,-0.9779651,-0.0145049365,-0.20704879,0.022466734,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124525314,0.19790906,-0.75143343,0.3996517,-0.9790225,-0.01737138,-0.20240477,0.015669439,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124557336,0.0067252587,-0.087217376,0.39313757,-0.9809712,-0.011089504,-0.1936206,0.009152116,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124589322,0.48699954,0.76296407,0.15823022,-0.97890675,-0.02040691,-0.20317867,0.0066097733,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124618151,2.5725164,1.4550985,0.71001965,-0.97507334,-0.045535527,-0.2170874,0.005630408,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124650146,-1.1114832,3.14421,0.7154032,-0.9631546,-0.065629475,-0.2607192,-0.0071828663,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124682124,-0.5049779,1.6868511,0.46872407,-0.9552391,-0.056332078,-0.28974307,-0.019849174,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124714163,-0.519047,-1.2892132,-0.058465667,-0.9531222,-0.05243152,-0.29695034,-0.025092648,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124746339,0.25032032,-1.6080635,0.14600524,-0.96221834,-0.047025338,-0.2669939,-0.02527326,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124778122,0.051144894,-0.6388759,0.55276036,-0.96560913,-0.051362358,-0.2531411,-0.02967464,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124806925,-0.054091547,-1.5845033,0.30470565,-0.96909475,-0.058375772,-0.23753549,-0.0320079,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124838977,0.29267025,-0.29397678,0.14505237,-0.973308,-0.05679424,-0.21974291,-0.034044325,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124870932,0.017908994,0.38442728,-0.0602877,-0.9715557,-0.06339893,-0.22563757,-0.03388138,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124902924,2.0633662,1.1561922,0.49768287,-0.96788746,-0.08563587,-0.23400058,-0.033230167,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124935744,-0.93927884,1.9094038,0.4142819,-0.9570602,-0.09544368,-0.27007884,-0.04453751,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124967757,-0.7899766,1.1160907,0.25620645,-0.95245636,-0.08220365,-0.28818685,-0.054934427,0.28009585,-0.7013075,-0.27926207,0.5930657,2
124995714,-0.61827946,-1.5845488,-0.017725231,-0.95313656,-0.07672167,-0.286738,-0.058530185,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125027734,0.25266767,-1.5860093,0.3584892,-0.9620121,-0.080385014,-0.25429535,-0.058352083,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125059714,0.5743255,-0.6294758,0.56842977,-0.9640769,-0.092113435,-0.24105652,-0.06295038,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125092520,-0.27969968,-1.303648,0.21267474,-0.9669313,-0.104372285,-0.22344497,-0.06498304,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125124536,1.4255128,0.5660751,0.32907632,-0.96708316,-0.11325872,-0.21792147,-0.06658073,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125156520,0.7896717,0.59052986,0.32629308,-0.9630398,-0.12168129,-0.23020259,-0.06895514,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125188529,0.8105752,2.1086342,0.7801694,-0.95488036,-0.14511307,-0.24816732,-0.07455766,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125217339,-1.3073523,2.8209603,0.4471745,-0.94103163,-0.14832754,-0.29002547,-0.09134331,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125249314,-1.3554221,1.9930408,0.15347303,-0.9335098,-0.12896506,-0.3174339,-0.10565598,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125281356,-1.1019661,-0.9842975,-0.3321824,-0.9322209,-0.11288567,-0.32561603,-0.11043204,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125313339,0.63923514,-0.45618305,0.4405248,-0.9377574,-0.109919354,-0.30969682,-0.11232444,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125342148,0.8441482,0.10228499,0.80203545,-0.935031,-0.1250123,-0.3102302,-0.1176702,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125374127,-0.12989393,-0.81795883,0.0874922,-0.93541914,-0.13514914,-0.3043653,-0.11869076,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125406124,0.9995545,0.827905,-0.075274855,-0.93564767,-0.13748063,-0.3031951,-0.1171979,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125438142,-0.06521709,0.99995536,-0.023204178,-0.93009037,-0.13310163,-0.3213344,-0.11815346,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125470121,0.21649157,2.2247152,0.47026175,-0.92138284,-0.14004676,-0.3415637,-0.1215523,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125502918,-2.2929564,2.397477,-0.01516152,-0.9032572,-0.12394891,-0.38649037,-0.13924192,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125534942,-2.0349643,1.2075814,-0.38755125,-0.8968123,-0.09351855,-0.40460798,-0.15255916,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125562950,-1.5932556,-2.3160827,-0.5504116,-0.9024831,-0.07186194,-0.39489886,-0.1562532,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125594932,0.5424175,-2.1394608,0.5567645,-0.91942835,-0.06981362,-0.35371515,-0.15704545,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125627723,1.0144286,-1.7079521,0.8454315,-0.924402,-0.10134831,-0.33158424,-0.15893826,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125659728,0.0156154465,-2.3898191,-0.13853493,-0.9329527,-0.117226325,-0.302786,-0.15549228,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125691737,0.60875905,0.040348444,-0.32866454,-0.93967587,-0.11982738,-0.28451815,-0.14730938,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125723718,-0.34506407,0.199599,-0.20668292,-0.9392924,-0.10718664,-0.29136732,-0.14610283,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125751756,0.3285895,0.53528285,0.4725556,-0.93876696,-0.105242714,-0.29270348,-0.14820738,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125784546,-1.2746878,2.5352442,0.46571767,-0.927306,-0.09714541,-0.32319176,-0.16190614,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125816519,-2.0164583,0.6771342,-0.020600315,-0.9233422,-0.064732365,-0.33431172,-0.1774392,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125848539,-1.7226009,-2.1772504,-0.65718967,-0.9279371,-0.033340584,-0.32345578,-0.18220231,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125880522,0.11313576,-2.7079914,0.26993015,-0.944037,-0.02388199,-0.2728921,-0.18372174,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125909332,1.281731,-1.6464204,1.0171667,-0.94840366,-0.048798993,-0.25025907,-0.18846688,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125941340,0.675769,-2.5614932,0.06296148,-0.95430136,-0.06777785,-0.22014375,-0.19039907,0.28009585,-0.7013075,-0.27926207,0.5930657,2
125973340,0.48619437,-0.610359,-0.33038735,-0.9611904,-0.07216896,-0.19209938,-0.18439813,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126005356,-0.5650433,0.16125476,-0.17309135,-0.96163046,-0.059282683,-0.19465983,-0.18401118,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126037319,0.20596085,0.3913152,0.44363984,-0.9617699,-0.053897686,-0.19264719,-0.18703176,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126070147,-1.1883006,2.399865,0.5566268,-0.95341027,-0.04275115,-0.22243391,-0.1992595,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126098125,-2.1333451,0.6574833,0.12042241,-0.9496944,-0.01386443,-0.23151512,-0.21045013,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126130304,-1.600382,-1.5417734,-0.38300848,-0.9502114,0.017499404,-0.22444238,-0.21544777,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126162142,-0.207618,-2.8226678,0.21312213,-0.9599387,0.0279716,-0.17292382,-0.21870665,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126194914,1.2032316,-1.3722836,1.0161817,-0.9617765,0.0030107282,-0.14948024,-0.22941792,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126226939,0.5857201,-2.0950081,0.12731765,-0.96364534,-0.012500322,-0.12570168,-0.23543707,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126258992,-0.0020183935,-0.3615935,-0.25487542,-0.9670577,-0.013307458,-0.10229376,-0.23271938,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126290954,-0.9526792,0.5906287,-0.10567863,-0.966434,-0.0016333224,-0.11052742,-0.231919,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126319005,0.7106631,0.7058136,0.51238495,-0.96517676,-0.0011007137,-0.11740336,-0.2337715,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126351720,-0.7065128,3.0384364,0.6180213,-0.9573046,0.005079464,-0.15528461,-0.24378055,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126383714,-1.4914294,1.123372,0.19756931,-0.9509227,0.034105193,-0.17476481,-0.25306156,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126415744,-1.3323097,-1.5163064,-0.21650487,-0.9492074,0.060039103,-0.1713759,-0.25696468,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126447714,-0.049636703,-2.353591,0.41376668,-0.9546372,0.064544104,-0.1255188,-0.26219627,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126476547,1.9965453,-1.1030028,0.9211362,-0.9548864,0.040324222,-0.11069644,-0.2726029,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126508536,0.13102335,-1.7770579,0.3623443,-0.9547142,0.02271745,-0.09232586,-0.28192312,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126540516,-0.24066639,-0.571189,-0.24470514,-0.9569715,0.018207368,-0.069611125,-0.2811199,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126572534,-0.89430666,1.2211257,-0.24179684,-0.95658106,0.022532614,-0.08261806,-0.27860245,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126605314,0.69605404,1.2967992,0.3903254,-0.9546554,0.023535771,-0.09930529,-0.27967438,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126637314,-0.27254072,3.5772207,0.6965553,-0.9459472,0.02540126,-0.14743291,-0.28775424,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126665339,-1.015841,1.7962788,0.23903577,-0.9386509,0.04916915,-0.17320266,-0.29413918,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126697315,-0.84810096,-0.053061076,-0.040470906,-0.9336125,0.07382834,-0.18552324,-0.29748645,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126729358,-0.24677804,-1.6899943,0.28115886,-0.9372091,0.08126701,-0.15508592,-0.3016342,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126762168,2.1061738,-0.19733432,0.81061524,-0.93613243,0.0589243,-0.1508552,-0.31213272,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126794134,0.10368894,-0.6621951,0.31674603,-0.93437845,0.043285534,-0.14956184,-0.32046008,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126826143,-0.45160222,0.0019142702,-0.21192755,-0.93588704,0.045361053,-0.13942729,-0.32034054,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126854159,-0.41198704,1.6681217,-0.25184825,-0.93471396,0.04853731,-0.15525815,-0.3159886,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126886956,0.8167439,1.6394963,0.17338425,-0.93116677,0.05355917,-0.17921603,-0.3129562,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126918974,0.72098774,4.082023,0.65336126,-0.91902816,0.050495833,-0.23090833,-0.3154663,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126950944,-0.8867266,1.9856681,0.038632095,-0.90532196,0.0776595,-0.26692343,-0.32111233,0.28009585,-0.7013075,-0.27926207,0.5930657,2
126982938,-1.0175196,-0.26779315,-0.0985764,-0.8986219,0.100250624,-0.27805313,-0.3242144,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127014918,-0.75191015,-2.5094962,-0.028658196,-0.90739936,0.10515405,-0.23952636,-0.32893187,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127043739,1.3200055,-1.2614794,0.898374,-0.91112345,0.084755376,-0.22244132,-0.33643797,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127075714,0.19948244,-1.2898097,0.33292887,-0.91275626,0.05745246,-0.21293536,-0.34385166,0.28009585,-0.7013075,-0.27926207,0.5930657,2
